Time (sec),RPM,Coolant Temp (C),TPS (%),MAP (kPa),MAP Rate (kPa/sec),Battery Volt (V),Fuel Open Time (ms),Fuel Duty Cycle (%),Starting Compensation - Fuel (%),Coolant Temp Compensation - Fuel (%),Ignition Angle (DBTDC),Anlg #5 (C), Anlg #6,Anlg #7 (C),Digital Output #1,Digital Output #2,Digital Output #3,Digital Output #4,Digital Output #5,Digital Output #6,Digital Output #7,Digital Output #8,Digital Output #9,Digital Output #10,Open Time Clip,Charge Time Clip,Measured AFR #1,Accel Base Comp (%),
0.000,3711,70.0,0.0,68.88,-165.5,12.40,4.51,27.9,151.8,106.6,20.0,-63.0,0.02,-63.0,0,0,0,1,0,0,0,0,0,0,0,0,19.11,100.8,
0.100,4539,70.0,0.0,76.46,303.4,13.70,6.26,44.8,151.8,106.5,20.0,-63.0,0.02,-63.0,0,0,0,1,0,0,0,0,0,0,0,0,19.11,120.4,
0.200,5610,70.0,0.0,75.22,-34.5,13.80,4.33,40.6,151.8,106.9,20.0,-63.0,0.02,-63.0,0,0,0,1,0,0,0,0,0,0,0,0,19.11,100.2,
0.300,5760,70.0,0.0,49.99,48.3,13.70,3.35,32.5,151.8,105.9,20.0,-63.0,0.02,-63.0,0,0,0,1,0,0,0,0,0,0,0,0,19.11,100.9,
0.400,5145,70.0,0.0,33.16,-386.1,13.80,2.64,23.1,151.8,105.2,20.0,-63.0,0.02,-63.0,0,0,0,1,0,0,0,0,0,0,0,0,19.11,100.9,
0.501,4324,70.0,0.0,30.20,-172.4,13.80,2.65,19.6,151.8,105.0,20.0,-63.0,0.02,-63.0,0,0,0,1,0,0,0,0,0,0,0,0,19.11,100.9,
0.600,3668,70.0,0.0,28.82,-20.7,13.80,3.00,18.9,151.8,104.9,20.0,-63.0,0.02,-63.0,0,0,0,1,0,0,0,0,0,0,0,0,19.11,100.9,
0.700,3023,70.0,0.0,31.99,-89.6,13.70,2.41,12.6,151.8,104.9,20.0,-63.0,0.02,-63.0,0,0,0,1,0,0,0,0,0,0,0,0,19.11,100.9,
0.800,2614,70.0,0.0,41.44,-131.0,13.70,2.61,11.0,151.8,105.4,20.0,-63.0,0.02,-63.0,0,0,0,1,0,0,0,0,0,0,0,0,19.11,120.2,
0.900,2962,70.0,0.0,54.19,248.2,13.80,2.62,12.0,151.8,105.8,20.0,-63.0,0.02,-63.0,0,0,0,1,0,0,0,0,0,0,0,0,19.11,120.1,
1.000,3534,70.0,0.0,55.71,-75.8,13.80,3.95,22.3,151.8,106.0,20.0,-63.0,0.02,-63.0,0,0,0,1,0,0,0,0,0,0,0,0,19.11,120.1,
1.100,4043,70.0,0.0,54.33,158.6,13.80,3.62,23.4,151.8,106.0,20.0,-63.0,0.02,-63.0,0,0,0,1,0,0,0,0,0,0,0,0,19.11,100.4,
1.200,4099,70.0,0.0,44.06,-27.6,13.80,2.91,20.1,151.8,105.6,20.0,-63.0,0.02,-63.0,0,0,0,1,0,0,0,0,0,0,0,0,19.11,100.4,
1.300,4021,70.0,0.0,34.96,-158.6,13.80,2.31,15.4,151.8,105.2,20.0,-63.0,0.02,-63.0,0,0,0,1,0,0,0,0,0,0,0,0,19.11,100.4,
1.400,3728,70.0,0.0,32.89,82.7,13.80,2.57,16.2,151.8,105.0,18.5,-63.0,0.02,-63.0,0,0,0,1,0,0,0,0,0,0,0,0,19.11,100.4,
1.500,3285,70.0,0.0,33.03,103.4,13.80,2.53,14.2,151.8,105.0,20.1,-63.0,0.02,-63.0,0,0,0,1,0,0,0,0,0,0,0,0,19.11,100.4,
1.600,2870,70.0,0.0,38.75,137.9,13.80,2.31,11.3,151.8,105.2,19.9,-63.0,0.02,-63.0,0,0,0,1,0,0,0,0,0,0,0,0,19.11,100.4,
1.700,2796,70.0,0.0,37.23,-262.0,13.80,2.33,10.6,151.8,105.3,18.4,-63.0,0.02,-63.0,0,0,0,1,0,0,0,0,0,0,0,0,19.11,100.4,
1.800,2906,70.0,0.0,42.13,137.9,13.80,2.33,10.8,151.8,105.4,17.8,-63.0,0.02,-63.0,0,0,0,1,0,0,0,0,0,0,0,0,19.11,100.4,
1.900,2947,70.0,0.0,42.95,-124.1,13.80,2.33,11.7,151.8,105.4,16.5,-63.0,0.02,-63.0,0,0,0,1,0,0,0,0,0,0,0,0,19.11,100.4,
2.000,3179,70.0,0.0,44.33,158.6,13.80,2.37,12.1,151.8,105.5,16.3,-63.0,0.02,-63.0,0,0,0,1,0,0,0,0,0,0,0,0,19.11,100.4,
2.100,3335,70.0,0.0,42.68,-213.7,13.90,2.54,13.7,151.8,105.5,14.3,-63.0,0.02,-63.0,0,0,0,1,0,0,0,0,0,0,0,0,19.11,100.4,
2.200,3362,70.0,0.0,46.61,-172.4,13.90,3.33,19.0,151.8,105.7,11.4,-63.0,0.02,-63.0,0,0,0,1,0,0,0,0,0,0,0,0,19.11,120.0,
2.300,3404,70.0,0.0,52.61,124.1,13.90,3.43,19.6,151.8,105.7,11.3,-63.0,0.02,-63.0,0,0,0,1,0,0,0,0,0,0,0,0,19.11,120.0,
2.400,3613,70.0,0.0,55.85,117.2,13.90,3.18,19.3,151.8,105.9,12.9,-63.0,0.02,-63.0,0,0,0,1,0,0,0,0,0,0,0,0,19.11,120.3,
2.500,3814,70.0,0.0,54.88,-193.1,13.90,3.72,24.0,151.8,106.1,14.4,-63.0,0.02,-63.0,0,0,0,1,0,0,0,0,0,0,0,0,19.11,120.1,
